ItemNumb,ConditionID,GenID,ChainID,Group,HoldOut,ItemID,InputZip,TrainingOrder,AdjType,ContrastType,DominantOrder,NonTargetLoc,ActionVidFilename
13,VNA-VAN,Gen1,Chain3,VNA-VAN_Chain3,Spoon,Spoon,Holdout,Holdout,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
14,VNA-VAN,Gen1,Chain3,VNA-VAN_Chain3,Spoon,Spoon,Holdout,Holdout,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
15,VNA-VAN,Gen1,Chain3,VNA-VAN_Chain3,Spoon,Spoon,Holdout,Holdout,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
16,VNA-VAN,Gen1,Chain3,VNA-VAN_Chain3,Spoon,Spoon,Holdout,Holdout,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
1,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Spoon,Zena,VAN,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
2,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
3,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
4,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Spoon,Zena,VNA,Pattern,NounAdj,NounFirst,First,Action_Spoon.mp4
5,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
6,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Glasses,Zena,VAN,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
7,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
8,VNA-VAN,Gen1,Chain4,VNA-VAN_Chain4,Headband,Glasses,Zena,VNA,Shape,NounAdj,NounFirst,First,Action_Glasses.mp4
